v8-version,6,1,534,48,0
code-creation,Stub,3,15376,0x1c1776baad60,2285,"RecordWriteStub"
code-creation,Handler,4,15381,0x1c1776bab660,308,"An IC handler from the snapshot"
code-creation,Handler,4,15386,0x1c1776bab7a0,744,"An IC handler from the snapshot"
code-creation,Stub,3,15391,0x1c1776babaa0,2296,"RecordWriteStub"
tick,0x7fffb4f7147e,15451,0,0x0,4
code-creation,Stub,3,15460,0x1c1776bac3a0,2238,"RecordWriteStub"
code-creation,Stub,3,15465,0x1c1776bacc60,2254,"RecordWriteStub"
code-creation,Stub,3,15470,0x1c1776bad540,1391,"RecordWriteStub"
code-creation,Stub,3,15475,0x1c1776badac0,2242,"RecordWriteStub"
code-creation,Stub,3,15480,0x1c1776bae3a0,2291,"RecordWriteStub"
code-creation,Stub,3,15485,0x1c1776baeca0,183,"DoubleToIStub"
code-creation,Stub,3,15490,0x1c1776baed60,2266,"RecordWriteStub"
code-creation,Stub,3,15495,0x1c1776baf640,2308,"RecordWriteStub"
code-creation,Handler,4,15499,0x1c1776baff60,780,"An IC handler from the snapshot"
code-creation,Handler,4,15504,0x1c1776bb0280,256,"An IC handler from the snapshot"
code-creation,Stub,3,15509,0x1c1776bb0380,2238,"RecordWriteStub"
code-creation,Stub,3,15514,0x1c1776bb0c40,2266,"RecordWriteStub"
code-creation,Handler,4,15519,0x1c1776bb1520,296,"An IC handler from the snapshot"
code-creation,Stub,3,15523,0x1c1776bb1660,1412,"RecordWriteStub"
code-creation,Stub,3,15528,0x1c1776bb1c00,2269,"RecordWriteStub"
code-creation,Stub,3,15535,0x1c1776bb24e0,2250,"RecordWriteStub"
code-creation,Stub,3,15542,0x1c1776bb2dc0,3405,"SubStringStub"
code-creation,Stub,3,15548,0x1c1776bb3b20,183,"DoubleToIStub"
code-creation,Stub,3,15556,0x1c1776bb3be0,387,"CreateWeakCellStub"
code-creation,Handler,4,15563,0x1c1776bb3d80,688,"An IC handler from the snapshot"
code-creation,Stub,3,15569,0x1c1776bb4040,1416,"RecordWriteStub"
code-creation,Stub,3,15574,0x1c1776bb45e0,2257,"RecordWriteStub"
code-creation,Stub,3,15580,0x1c1776bb4ec0,365,"CEntryStub"
code-creation,Stub,3,15588,0x1c1776bb5040,2238,"RecordWriteStub"
code-creation,Stub,3,15593,0x1c1776bb5900,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,15599,0x1c1776bb5ae0,2272,"RecordWriteStub"
code-creation,Stub,3,15604,0x1c1776bb63c0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,15612,0x1c1776bb6500,357,"MathPowStub"
code-creation,Handler,4,15618,0x1c1776bb6680,744,"An IC handler from the snapshot"
code-creation,Stub,3,15624,0x1c1776bb6980,427,"CallApiGetterStub"
code-creation,Stub,3,15631,0x1c1776bb6b40,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,15637,0x1c1776bb6c80,2276,"RecordWriteStub"
code-creation,Stub,3,15644,0x1c1776bb7580,2284,"RecordWriteStub"
code-creation,Stub,3,15650,0x1c1776bb7e80,2254,"RecordWriteStub"
code-creation,Stub,3,15656,0x1c1776bb8760,615,"StringAddStub"
code-creation,Stub,3,15663,0x1c1776bb89e0,375,"NumberToStringStub"
code-creation,Stub,3,15669,0x1c1776bb8b60,980,"RecordWriteStub"
code-creation,Stub,3,15677,0x1c1776bb8f40,2263,"RecordWriteStub"
code-creation,Handler,4,15683,0x1c1776bb9820,296,"An IC handler from the snapshot"
code-creation,Stub,3,15689,0x1c1776bb9960,2307,"RecordWriteStub"
code-creation,Stub,3,15695,0x1c1776bba280,2254,"RecordWriteStub"
code-creation,Stub,3,15700,0x1c1776bbab60,185,"DoubleToIStub"
code-creation,Stub,3,15706,0x1c1776bbac20,2283,"RecordWriteStub"
code-creation,Stub,3,15712,0x1c1776bbb520,978,"RecordWriteStub"
code-creation,Stub,3,15719,0x1c1776bbb900,2257,"RecordWriteStub"
code-creation,Stub,3,15726,0x1c1776bbc1e0,2292,"RecordWriteStub"
code-creation,Stub,3,15731,0x1c1776bbcae0,2241,"RecordWriteStub"
code-creation,Stub,3,15737,0x1c1776bbd3c0,2279,"RecordWriteStub"
code-creation,Stub,3,15743,0x1c1776bbdcc0,972,"RecordWriteStub"
code-creation,Stub,3,15748,0x1c1776bbe0a0,2254,"RecordWriteStub"
code-creation,Stub,3,15756,0x1c1776bbe980,431,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,4,15763,0x1c1776bbeb40,688,"An IC handler from the snapshot"
code-creation,Stub,3,15770,0x1c1776bbee00,974,"RecordWriteStub"
code-creation,Stub,3,15788,0x1c1776bbf1e0,2254,"RecordWriteStub"
code-creation,Stub,3,15795,0x1c1776bbfac0,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,15803,0x1c1776bbfc00,2242,"RecordWriteStub"
code-creation,Stub,3,15810,0x1c1776bc04e0,2241,"RecordWriteStub"
code-creation,Stub,3,15816,0x1c1776bc0dc0,980,"RecordWriteStub"
code-creation,Stub,3,15823,0x1c1776bc11a0,206,"InternalArrayConstructorStub"
code-creation,Stub,3,15830,0x1c1776bc1280,2266,"RecordWriteStub"
